https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume WBTC,Volume ETH,tradecount
1759536000000,2025-10-04,WBTCETH,27.16,27.39,27.16,27.22,0.40975,11.1643145,169
1759449600000,2025-10-03,WBTCETH,26.86,27.27,26.45,27.05,1.59839,43.1625606,502
1759363200000,2025-10-02,WBTCETH,27.24,27.32,26.73,26.89,0.5901,15.9165754,386
1759276800000,2025-10-01,WBTCETH,27.6,27.73,26.92,27.28,0.9051,24.8100291,223
1759190400000,2025-09-30,WBTCETH,27.13,27.65,27.05,27.62,0.80532,22.0239414,293
1759104000000,2025-09-29,WBTCETH,27.08,27.48,27.01,27.14,5.27933,143.2702481,1238
1759017600000,2025-09-28,WBTCETH,27.25,27.54,27.07,27.1,0.48217,13.1813411,326
1758931200000,2025-09-27,WBTCETH,27.24,27.48,27.15,27.27,0.43945,11.9792995,244
1758844800000,2025-09-26,WBTCETH,28.12,28.12,27.14,27.26,0.57297,15.8257992,564
1758758400000,2025-09-25,WBTCETH,27.28,28.44,27.28,28.18,0.72366,20.1797927,740
1758672000000,2025-09-24,WBTCETH,26.89,27.41,26.79,27.28,0.31313,8.4977957,266
1758585600000,2025-09-23,WBTCETH,26.79,27.08,26.77,26.89,0.30219,8.1450761,323
1758499200000,2025-09-22,WBTCETH,25.92,27.54,25.92,26.85,0.55326,14.8931806,639
1758412800000,2025-09-21,WBTCETH,25.76,25.95,25.7,25.88,0.48096,12.434253,183
1758326400000,2025-09-20,WBTCETH,25.91,25.95,25.77,25.77,0.22075,5.7063896,107
1758240000000,2025-09-19,WBTCETH,25.46,26.01,25.42,25.9,0.31025,7.9855534,198
1758153600000,2025-09-18,WBTCETH,25.33,25.66,25.22,25.52,0.28853,7.3524581,267
1758067200000,2025-09-17,WBTCETH,25.89,26.15,25.34,25.4,0.62384,16.0699163,713
1757980800000,2025-09-16,WBTCETH,25.51,26.03,25.44,25.95,0.6965,18.02057,489
1757894400000,2025-09-15,WBTCETH,25.06,25.66,24.84,25.52,0.33447,8.4744173,403
1757808000000,2025-09-14,WBTCETH,24.82,25.16,24.74,25.02,0.26356,6.5948649,272
1757721600000,2025-09-13,WBTCETH,24.63,24.98,24.34,24.85,0.19497,4.8048764,204
1757635200000,2025-09-12,WBTCETH,25.92,25.95,24.55,24.64,0.47819,12.1353036,420
1757548800000,2025-09-11,WBTCETH,26.15,26.15,25.5,25.85,0.64372,16.6212369,454
1757462400000,2025-09-10,WBTCETH,25.9,26.29,25.68,26.23,0.18755,4.8696433,232
1757376000000,2025-09-09,WBTCETH,26.0,26.01,25.84,25.85,0.36348,9.4196988,152
1757289600000,2025-09-08,WBTCETH,25.84,26.14,25.73,26.07,0.96523,25.0450727,229
1757203200000,2025-09-07,WBTCETH,25.72,26.08,25.72,25.83,0.24682,6.3873066,133
1757116800000,2025-09-06,WBTCETH,25.7,25.95,25.64,25.77,0.13266,3.4189748,170
1757030400000,2025-09-05,WBTCETH,25.76,25.95,25.2,25.68,1.02675,26.3619979,558
1756944000000,2025-09-04,WBTCETH,25.08,25.73,25.01,25.73,0.60615,15.2862407,295
1756857600000,2025-09-03,WBTCETH,25.79,25.9,25.01,25.12,0.89743,22.7861944,387
1756771200000,2025-09-02,WBTCETH,25.32,25.94,25.02,25.72,1.12264,28.5685974,516
1756684800000,2025-09-01,WBTCETH,24.72,25.53,24.49,25.38,0.53969,13.5663833,380
1756598400000,2025-08-31,WBTCETH,24.87,24.87,24.16,24.71,0.18968,4.6397232,242
1756512000000,2025-08-30,WBTCETH,24.95,25.28,24.62,24.92,0.18944,4.7252863,263
1756425600000,2025-08-29,WBTCETH,25.01,25.49,24.82,24.92,0.81921,20.564133,674
1756339200000,2025-08-28,WBTCETH,24.77,25.26,24.51,24.95,0.35164,8.7554616,255
1756252800000,2025-08-27,WBTCETH,24.37,24.78,23.67,24.76,1.79794,43.5383979,913
1756166400000,2025-08-26,WBTCETH,25.15,25.28,24.18,24.37,0.95027,23.4983652,634
1756080000000,2025-08-25,WBTCETH,23.69,25.28,23.69,25.13,0.66041,16.2511952,556
1755993600000,2025-08-24,WBTCETH,24.12,24.23,23.18,23.78,0.52158,12.3042557,444
1755907200000,2025-08-23,WBTCETH,24.3,24.78,24.08,24.18,0.24746,6.0433503,238
1755820800000,2025-08-22,WBTCETH,26.61,26.61,23.98,24.21,0.95162,23.7748838,759
1755734400000,2025-08-21,WBTCETH,26.4,26.67,26.35,26.67,0.38181,10.1281594,228
1755648000000,2025-08-20,WBTCETH,27.64,27.71,26.2,26.39,0.71479,19.3396929,441
1755561600000,2025-08-19,WBTCETH,26.96,27.68,26.73,27.68,1.08805,29.5112773,603
1755475200000,2025-08-18,WBTCETH,26.23,27.16,26.23,26.94,2.76343,73.9966001,1073
1755388800000,2025-08-17,WBTCETH,26.54,26.64,25.88,26.24,0.59589,15.6595293,312
1755302400000,2025-08-16,WBTCETH,26.35,26.82,26.26,26.52,0.69183,18.3688848,245
1755216000000,2025-08-15,WBTCETH,25.99,26.73,25.54,26.45,0.55457,14.4016451,361
1755129600000,2025-08-14,WBTCETH,25.98,26.49,25.4,26.0,1.7734,45.6899324,681
1755043200000,2025-08-13,WBTCETH,26.07,26.2,25.49,25.92,1.10358,28.3647268,614
1754956800000,2025-08-12,WBTCETH,28.03,28.03,25.94,26.17,3.13316,84.3042609,768
1754870400000,2025-08-11,WBTCETH,28.06,28.78,27.56,28.07,1.61018,45.4407637,647
1754784000000,2025-08-10,WBTCETH,27.38,28.39,26.95,28.0,1.19375,33.1749018,558
1754697600000,2025-08-09,WBTCETH,28.96,28.96,26.99,27.28,3.09521,85.3507432,865
1754611200000,2025-08-08,WBTCETH,30.08,30.08,28.62,29.06,2.26962,66.3934872,663
1754524800000,2025-08-07,WBTCETH,31.21,31.33,29.98,29.99,11.81664,355.1868207,2202
1754438400000,2025-08-06,WBTCETH,31.6,31.86,31.19,31.19,0.85161,26.8434076,390
1754352000000,2025-08-05,WBTCETH,31.04,31.9,31.03,31.61,0.74154,23.3314779,392
1754265600000,2025-08-04,WBTCETH,32.55,32.55,30.84,30.92,1.10883,34.9225653,381
1754179200000,2025-08-03,WBTCETH,33.12,33.33,32.49,32.62,0.40304,13.2706034,217
1754092800000,2025-08-02,WBTCETH,32.53,33.3,32.24,33.02,4.02935,132.9523547,750
1754006400000,2025-08-01,WBTCETH,31.33,32.84,31.13,32.46,6.99133,223.6569663,1196
1753920000000,2025-07-31,WBTCETH,30.88,31.33,30.6,31.33,0.75487,23.4506579,252
1753833600000,2025-07-30,WBTCETH,31.1,31.44,30.86,30.95,0.54792,17.0426881,255
1753747200000,2025-07-29,WBTCETH,31.05,31.45,30.6,31.02,0.68976,21.4679502,384
1753660800000,2025-07-28,WBTCETH,30.76,31.23,30.26,31.12,1.20538,37.0298502,385
1753574400000,2025-07-27,WBTCETH,31.53,31.55,30.79,30.86,0.8629,26.8016403,379
1753488000000,2025-07-26,WBTCETH,31.58,31.74,31.13,31.5,0.99628,31.2701035,469
1753401600000,2025-07-25,WBTCETH,31.94,32.2,31.04,31.57,1.6825,53.4562802,558
1753315200000,2025-07-24,WBTCETH,32.77,33.35,31.66,31.89,1.64136,53.2286209,773
1753228800000,2025-07-23,WBTCETH,32.0,33.2,31.66,32.63,4.84833,158.4161293,1381
1753142400000,2025-07-22,WBTCETH,31.19,32.53,31.03,31.97,3.99364,127.735944,874
1753056000000,2025-07-21,WBTCETH,31.25,31.57,30.86,31.18,3.34415,104.4302784,973
1752969600000,2025-07-20,WBTCETH,32.82,32.83,31.04,31.12,8.95284,282.3477287,1946
1752883200000,2025-07-19,WBTCETH,33.21,33.48,32.78,32.79,0.32535,10.7664077,257
1752796800000,2025-07-18,WBTCETH,34.26,34.35,32.48,33.22,4.93092,163.0172806,1556
1752710400000,2025-07-17,WBTCETH,35.1,35.47,33.99,34.24,1.56296,54.0510234,691
1752624000000,2025-07-16,WBTCETH,37.56,37.74,34.85,35.15,1.11391,40.7196971,679
1752537600000,2025-07-15,WBTCETH,39.74,40.0,37.43,37.44,0.70895,27.3491267,475
1752451200000,2025-07-14,WBTCETH,39.93,40.38,39.46,39.76,1.71977,68.7650545,454
1752364800000,2025-07-13,WBTCETH,39.86,40.21,39.5,39.95,30.39456,1211.7598506,2150
1752278400000,2025-07-12,WBTCETH,39.87,40.23,39.42,39.82,0.25058,9.9481421,190
1752192000000,2025-07-11,WBTCETH,39.41,40.0,39.0,39.72,3.04985,119.4034044,670
1752105600000,2025-07-10,WBTCETH,40.13,40.96,38.76,39.3,3.50598,137.8722911,1031
1752019200000,2025-07-09,WBTCETH,41.66,41.78,40.06,40.1,1.95493,79.460703,593
1751932800000,2025-07-08,WBTCETH,42.53,42.61,41.5,41.77,0.54372,22.9554336,263
1751846400000,2025-07-07,WBTCETH,42.5,42.93,42.14,42.67,0.68124,28.9785848,466
1751760000000,2025-07-06,WBTCETH,42.95,42.97,42.06,42.46,0.4793,20.4350334,301
1751673600000,2025-07-05,WBTCETH,42.94,43.33,42.82,42.98,0.26157,11.2542632,138
1751587200000,2025-07-04,WBTCETH,42.26,43.33,42.26,43.08,0.49435,21.156768,301
1751500800000,2025-07-03,WBTCETH,42.3,42.51,41.77,42.28,0.42505,17.9782195,262
1751414400000,2025-07-02,WBTCETH,43.88,44.18,41.82,42.28,0.74741,32.2176437,582
1751328000000,2025-07-01,WBTCETH,43.1,44.08,43.01,43.93,0.43431,18.964627,290
1751241600000,2025-06-30,WBTCETH,43.27,43.88,42.68,42.98,0.93969,40.814308,589
1751155200000,2025-06-29,WBTCETH,44.07,44.51,42.91,43.3,1.41879,62.5147163,366
1751068800000,2025-06-28,WBTCETH,44.29,44.32,43.94,43.97,0.26614,11.7546679,91
1750982400000,2025-06-27,WBTCETH,44.32,44.6,43.48,44.12,0.49722,21.8364195,375
1750896000000,2025-06-26,WBTCETH,44.27,44.48,42.9,44.29,0.84512,37.0263289,408
1750809600000,2025-06-25,WBTCETH,43.33,44.85,43.2,44.43,1.95823,86.5662063,810
1750723200000,2025-06-24,WBTCETH,43.61,43.99,42.77,43.3,0.72725,31.5369195,368
1750636800000,2025-06-23,WBTCETH,45.07,45.56,43.33,43.58,1.87952,84.2137914,840
1750550400000,2025-06-22,WBTCETH,44.36,46.66,44.31,45.24,2.3013,104.4662523,1000
1750464000000,2025-06-21,WBTCETH,42.99,45.5,42.44,44.75,1.19092,51.9789361,661
1750377600000,2025-06-20,WBTCETH,41.41,43.14,41.39,42.94,0.85055,35.7795706,476
1750291200000,2025-06-19,WBTCETH,41.59,41.78,41.3,41.5,0.31753,13.1805936,116
1750204800000,2025-06-18,WBTCETH,41.55,42.06,41.38,41.55,0.59509,24.8076504,276
1750118400000,2025-06-17,WBTCETH,42.02,42.14,41.11,41.62,1.27725,53.0911224,483
1750032000000,2025-06-16,WBTCETH,41.51,42.11,40.49,42.0,1.33644,54.8456339,591
1749945600000,2025-06-15,WBTCETH,41.63,41.95,41.32,41.43,0.44342,18.4651837,171
1749859200000,2025-06-14,WBTCETH,41.1,41.89,41.1,41.64,0.60298,25.0063119,192
1749772800000,2025-06-13,WBTCETH,40.13,42.22,40.13,41.08,1.36138,56.3256469,686
1749686400000,2025-06-12,WBTCETH,39.24,40.33,38.87,39.98,0.77807,30.6043086,308
1749600000000,2025-06-11,WBTCETH,38.88,39.6,38.03,39.16,2.94441,115.2775821,714
1749513600000,2025-06-10,WBTCETH,41.02,41.06,38.93,39.21,2.05176,82.9795396,721
1749427200000,2025-06-09,WBTCETH,42.22,42.53,40.99,40.99,0.4055,17.0655871,176
1749340800000,2025-06-08,WBTCETH,41.82,42.22,41.77,42.22,0.21209,8.9092746,90
1749254400000,2025-06-07,WBTCETH,42.1,42.26,41.65,41.78,0.56642,23.8235458,251
1749168000000,2025-06-06,WBTCETH,42.03,42.37,41.48,42.08,0.73278,30.7086959,305
1749081600000,2025-06-05,WBTCETH,40.2,42.03,39.95,42.03,0.59057,24.1603069,460
1748995200000,2025-06-04,WBTCETH,40.56,40.57,39.37,40.2,0.75509,30.2187748,414
1748908800000,2025-06-03,WBTCETH,40.55,40.83,40.11,40.68,0.71178,28.7425536,357
1748822400000,2025-06-02,WBTCETH,41.61,42.22,40.51,40.61,0.7059,29.2433904,543
1748736000000,2025-06-01,WBTCETH,41.38,41.99,41.31,41.62,0.48417,20.1423538,285
1748649600000,2025-05-31,WBTCETH,41.03,41.67,40.83,41.35,0.59543,24.5142254,362
1748563200000,2025-05-30,WBTCETH,40.22,41.31,39.95,41.13,0.83189,33.8376597,522
1748476800000,2025-05-29,WBTCETH,40.15,40.72,38.82,40.11,1.34402,53.5329048,778
1748390400000,2025-05-28,WBTCETH,41.03,41.48,40.18,40.18,0.15686,6.4062248,226
1748304000000,2025-05-27,WBTCETH,42.6,42.88,40.67,40.97,0.73594,30.6504011,529
1748217600000,2025-05-26,WBTCETH,42.57,43.02,42.44,42.66,0.26179,11.1823999,155
1748131200000,2025-05-25,WBTCETH,42.53,43.31,42.47,42.73,1.33978,57.1363234,267
1748044800000,2025-05-24,WBTCETH,42.36,42.96,42.17,42.55,0.29792,12.6393935,148
1747958400000,2025-05-23,WBTCETH,41.77,42.95,40.69,42.44,0.55949,23.3208171,435
1747872000000,2025-05-22,WBTCETH,42.92,42.96,41.06,41.88,0.3468,14.5218546,294
1747785600000,2025-05-21,WBTCETH,42.28,43.31,41.3,42.91,0.84382,35.7213126,548
1747699200000,2025-05-20,WBTCETH,41.66,43.05,41.06,42.35,0.68302,28.6730184,454
1747612800000,2025-05-19,WBTCETH,42.6,43.76,41.43,41.7,1.03406,43.8292935,720
1747526400000,2025-05-18,WBTCETH,41.59,44.41,40.83,42.48,1.03156,43.5301098,849
1747440000000,2025-05-17,WBTCETH,40.83,41.92,40.8,41.65,0.97793,40.5004493,450
1747353600000,2025-05-16,WBTCETH,40.59,40.77,39.28,40.75,0.46968,18.7619205,313
1747267200000,2025-05-15,WBTCETH,39.62,40.98,39.28,40.98,0.677,27.2898201,376
1747180800000,2025-05-14,WBTCETH,38.86,40.26,38.21,39.62,0.65089,25.6111245,495
1747094400000,2025-05-13,WBTCETH,41.39,42.05,38.35,38.85,1.46326,58.2630935,981
1747008000000,2025-05-12,WBTCETH,41.35,41.8,40.26,41.26,0.74694,30.6797286,641
1746921600000,2025-05-11,WBTCETH,40.57,42.57,40.29,41.43,0.79517,32.9323748,712
1746835200000,2025-05-10,WBTCETH,43.89,44.27,40.1,40.52,0.96089,40.5676937,1125
1746748800000,2025-05-09,WBTCETH,46.87,47.06,41.76,44.04,2.90976,130.3253579,2069
1746662400000,2025-05-08,WBTCETH,53.53,53.66,46.51,46.75,3.44836,172.4625433,1904
1746576000000,2025-05-07,WBTCETH,53.04,53.88,52.5,53.59,1.21106,64.1789584,635
1746489600000,2025-05-06,WBTCETH,52.11,53.52,52.1,53.16,0.8708,46.0952625,439
1746403200000,2025-05-05,WBTCETH,52.13,52.57,51.7,52.12,0.88494,46.1374851,388
1746316800000,2025-05-04,WBTCETH,52.3,52.34,51.93,52.18,0.99278,51.7833941,355
1746230400000,2025-05-03,WBTCETH,52.59,52.96,52.15,52.29,1.62378,84.9132398,288
1746144000000,2025-05-02,WBTCETH,52.49,53.13,52.23,52.57,0.77342,40.7238503,456
1746057600000,2025-05-01,WBTCETH,52.47,52.58,51.79,52.4,1.35745,70.9688192,601
1745971200000,2025-04-30,WBTCETH,52.4,53.65,52.17,52.48,1.72941,91.405812,637
1745884800000,2025-04-29,WBTCETH,52.78,52.87,51.59,52.42,2.04508,106.9155164,614
1745798400000,2025-04-28,WBTCETH,52.3,53.5,52.19,52.82,2.91737,153.6272607,965
1745712000000,2025-04-27,WBTCETH,51.8,52.42,51.27,52.28,0.52386,27.2848768,301
1745625600000,2025-04-26,WBTCETH,52.71,52.75,51.5,51.91,0.80416,42.0231961,495
1745539200000,2025-04-25,WBTCETH,52.87,53.4,52.22,52.94,2.95176,155.9649515,1135
1745452800000,2025-04-24,WBTCETH,52.19,53.25,52.0,52.95,3.63574,192.282131,1045
1745366400000,2025-04-23,WBTCETH,53.25,53.33,51.27,51.96,7.64338,397.5499118,1937
1745280000000,2025-04-22,WBTCETH,55.5,56.56,52.5,53.09,4.81856,261.9205412,1735
1745193600000,2025-04-21,WBTCETH,53.61,55.53,52.82,55.39,0.77679,42.145755,709
1745107200000,2025-04-20,WBTCETH,52.79,53.7,52.71,53.7,0.13469,7.1720859,156
1745020800000,2025-04-19,WBTCETH,53.2,53.37,52.25,52.73,0.20811,11.0011717,188
1744934400000,2025-04-18,WBTCETH,53.7,53.7,52.87,53.11,0.67419,35.9249808,123
1744848000000,2025-04-17,WBTCETH,53.16,53.75,52.64,53.61,2.69224,142.7901305,462
1744761600000,2025-04-16,WBTCETH,52.62,54.11,52.28,53.34,2.7712,147.415925,919
1744675200000,2025-04-15,WBTCETH,51.99,52.94,51.86,52.62,2.52456,132.2151519,532
1744588800000,2025-04-14,WBTCETH,52.31,52.82,50.19,52.08,2.82919,146.5917393,879
1744502400000,2025-04-13,WBTCETH,51.9,53.31,51.57,52.34,4.54906,239.1140735,1164
1744416000000,2025-04-12,WBTCETH,53.25,53.78,50.91,51.88,22.99086,1221.7665983,1549
1744329600000,2025-04-11,WBTCETH,52.35,53.61,51.62,53.24,6.57063,346.3567491,882
1744243200000,2025-04-10,WBTCETH,49.55,53.26,49.52,52.32,13.91402,717.5374239,1263
1744156800000,2025-04-09,WBTCETH,51.81,53.87,49.23,49.49,9.19405,471.8727097,1611
1744070400000,2025-04-08,WBTCETH,50.96,52.85,49.92,51.72,7.90279,404.5475351,893
1743984000000,2025-04-07,WBTCETH,49.4,52.71,48.92,50.91,8.24137,419.0409468,2900
1743897600000,2025-04-06,WBTCETH,46.21,50.36,45.97,49.47,6.34832,305.266391,3110
